line 0,accelerometer= 15.18C
line 1,accelerometer= 32.69C
line 2,accelerometer= 20.17C
line 3,accelerometer= 33.45C
line 4,accelerometer= 44.65C
line 5,accelerometer= 10.08C
line 6,accelerometer= 22.64C
line 7,accelerometer= 11.38C
line 8,accelerometer= 18.45C
line 9,accelerometer= 44.35C
line 10,accelerometer= 12.02C
line 11,accelerometer= 13.47C
line 12,accelerometer= 28.25C
line 13,accelerometer= 24.31C
line 14,accelerometer= 35.30C
line 15,accelerometer= 30.64C
line 16,accelerometer= 16.98C
line 17,accelerometer= 23.36C
line 18,accelerometer= 30.66C
line 19,accelerometer= 16.67C
line 20,accelerometer= 11.68C
line 21,accelerometer= 32.49C
line 22,accelerometer= 11.37C
line 23,accelerometer= 40.82C
line 24,accelerometer= 28.38C
line 25,accelerometer= 16.05C
line 26,accelerometer= 43.40C
line 27,accelerometer= 29.83C
line 28,accelerometer= 18.64C
line 29,accelerometer= 27.72C
line 30,accelerometer= 37.69C
line 31,accelerometer= 34.16C
line 32,accelerometer= 17.57C
line 33,accelerometer= 37.40C
line 34,accelerometer= 28.65C
line 35,accelerometer= 22.40C
line 36,accelerometer= 33.22C
line 37,accelerometer= 24.40C
line 38,accelerometer= 15.39C
line 39,accelerometer= 28.34C
line 40,accelerometer= 13.59C
line 41,accelerometer= 20.51C
line 42,accelerometer= 14.24C
line 43,accelerometer= 44.23C
line 44,accelerometer= 40.57C
line 45,accelerometer= 30.52C
line 46,accelerometer= 42.08C
line 47,accelerometer= 42.88C
line 48,accelerometer= 39.45C
line 49,accelerometer= 29.15C
line 50,accelerometer= 42.73C
line 51,accelerometer= 12.29C
line 52,accelerometer= 43.07C
line 53,accelerometer= 33.75C
line 54,accelerometer= 33.63C
line 55,accelerometer= 26.40C
line 56,accelerometer= 36.37C
line 57,accelerometer= 39.35C
line 58,accelerometer= 10.33C
line 59,accelerometer= 20.21C
line 60,accelerometer= 27.67C
line 61,accelerometer= 21.08C
line 62,accelerometer= 28.18C
line 63,accelerometer= 40.90C
line 64,accelerometer= 12.15C
line 65,accelerometer= 22.50C
line 66,accelerometer= 39.02C
line 67,accelerometer= 27.13C
line 68,accelerometer= 42.96C
line 69,accelerometer= 42.32C
line 70,accelerometer= 17.59C
line 71,accelerometer= 29.21C
line 72,accelerometer= 42.99C
line 73,accelerometer= 17.86C
line 74,accelerometer= 31.75C
line 75,accelerometer= 23.49C
line 76,accelerometer= 43.14C
line 77,accelerometer= 16.49C
line 78,accelerometer= 20.65C
line 79,accelerometer= 44.72C
line 80,accelerometer= 24.71C
line 81,accelerometer= 14.92C
line 82,accelerometer= 43.45C
line 83,accelerometer= 27.41C
line 84,accelerometer= 19.87C
line 85,accelerometer= 20.56C
line 86,accelerometer= 18.98C
line 87,accelerometer= 34.36C
line 88,accelerometer= 26.64C
line 89,accelerometer= 23.68C
line 90,accelerometer= 28.67C
line 91,accelerometer= 43.80C
line 92,accelerometer= 15.83C
line 93,accelerometer= 26.37C
line 94,accelerometer= 43.36C
line 95,accelerometer= 35.60C
line 96,accelerometer= 22.74C
line 97,accelerometer= 42.90C
line 98,accelerometer= 28.84C
line 99,accelerometer= 28.53C
line 100,accelerometer= 35.04C
