line 0,humidity= 59.40%
line 1,humidity= 69.76%
line 2,humidity= 55.01%
line 3,humidity= 59.23%
line 4,humidity= 87.09%
line 5,humidity= 86.04%
line 6,humidity= 40.37%
line 7,humidity= 62.20%
line 8,humidity= 44.41%
line 9,humidity= 53.43%
line 10,humidity= 83.70%
line 11,humidity= 81.52%
line 12,humidity= 94.44%
line 13,humidity= 98.99%
line 14,humidity= 79.34%
line 15,humidity= 46.78%
line 16,humidity= 71.60%
line 17,humidity= 69.20%
line 18,humidity= 53.81%
line 19,humidity= 74.57%
line 20,humidity= 65.04%
line 21,humidity= 52.30%
line 22,humidity= 89.35%
line 23,humidity= 52.03%
line 24,humidity= 95.27%
line 25,humidity= 84.82%
line 26,humidity= 73.80%
line 27,humidity= 92.88%
line 28,humidity= 82.49%
line 29,humidity= 74.41%
line 30,humidity= 55.81%
line 31,humidity= 93.70%
line 32,humidity= 77.98%
line 33,humidity= 52.19%
line 34,humidity= 94.54%
line 35,humidity= 92.20%
line 36,humidity= 89.67%
line 37,humidity= 92.39%
line 38,humidity= 42.73%
line 39,humidity= 72.65%
line 40,humidity= 78.34%
line 41,humidity= 42.16%
line 42,humidity= 80.90%
line 43,humidity= 45.76%
line 44,humidity= 57.30%
line 45,humidity= 99.34%
line 46,humidity= 58.41%
line 47,humidity= 64.81%
line 48,humidity= 92.83%
line 49,humidity= 57.28%
line 50,humidity= 61.40%
line 51,humidity= 40.79%
line 52,humidity= 50.68%
line 53,humidity= 66.07%
line 54,humidity= 78.78%
line 55,humidity= 74.79%
line 56,humidity= 90.98%
line 57,humidity= 97.68%
line 58,humidity= 83.06%
line 59,humidity= 42.88%
line 60,humidity= 58.49%
line 61,humidity= 74.28%
line 62,humidity= 57.00%
line 63,humidity= 70.69%
line 64,humidity= 77.69%
line 65,humidity= 51.10%
line 66,humidity= 52.76%
line 67,humidity= 81.15%
line 68,humidity= 55.80%
line 69,humidity= 72.10%
line 70,humidity= 57.83%
line 71,humidity= 69.74%
line 72,humidity= 49.19%
line 73,humidity= 93.05%
line 74,humidity= 62.02%
line 75,humidity= 44.92%
line 76,humidity= 84.52%
line 77,humidity= 60.33%
line 78,humidity= 84.63%
line 79,humidity= 81.74%
line 80,humidity= 92.55%
line 81,humidity= 55.45%
line 82,humidity= 60.48%
line 83,humidity= 56.17%
line 84,humidity= 58.60%
line 85,humidity= 59.49%
line 86,humidity= 62.50%
line 87,humidity= 40.95%
line 88,humidity= 79.08%
line 89,humidity= 42.06%
line 90,humidity= 71.93%
line 91,humidity= 97.49%
line 92,humidity= 43.25%
line 93,humidity= 46.44%
line 94,humidity= 48.29%
line 95,humidity= 49.91%
line 96,humidity= 83.20%
line 97,humidity= 85.80%
line 98,humidity= 78.62%
line 99,humidity= 80.11%
line 100,humidity= 91.51%
