line 0,temp= 36.99C
line 1,temp= 32.82C
line 2,temp= 34.71C
line 3,temp= 32.38C
line 4,temp= 44.89C
line 5,temp= 36.56C
line 6,temp= 35.67C
line 7,temp= 37.06C
line 8,temp= 35.06C
line 9,temp= 35.36C
line 10,temp= 34.18C
line 11,temp= 39.99C
line 12,temp= 35.29C
line 13,temp= 30.17C
line 14,temp= 39.65C
line 15,temp= 41.83C
line 16,temp= 35.84C
line 17,temp= 36.49C
line 18,temp= 38.00C
line 19,temp= 44.79C
line 20,temp= 42.78C
line 21,temp= 30.94C
line 22,temp= 44.13C
line 23,temp= 41.90C
line 24,temp= 30.84C
line 25,temp= 30.99C
line 26,temp= 44.79C
line 27,temp= 38.94C
line 28,temp= 43.87C
line 29,temp= 35.72C
line 30,temp= 33.61C
line 31,temp= 41.26C
line 32,temp= 31.78C
line 33,temp= 40.96C
line 34,temp= 33.12C
line 35,temp= 37.40C
line 36,temp= 34.39C
line 37,temp= 32.20C
line 38,temp= 39.98C
line 39,temp= 36.06C
line 40,temp= 37.32C
line 41,temp= 34.33C
line 42,temp= 33.09C
line 43,temp= 40.08C
line 44,temp= 41.82C
line 45,temp= 42.94C
line 46,temp= 41.90C
line 47,temp= 44.21C
line 48,temp= 37.41C
line 49,temp= 35.52C
line 50,temp= 31.06C
line 51,temp= 30.49C
line 52,temp= 35.31C
line 53,temp= 42.56C
line 54,temp= 32.37C
line 55,temp= 34.22C
line 56,temp= 44.90C
line 57,temp= 37.22C
line 58,temp= 32.31C
line 59,temp= 35.07C
line 60,temp= 30.40C
line 61,temp= 44.45C
line 62,temp= 34.19C
line 63,temp= 31.66C
line 64,temp= 41.57C
line 65,temp= 31.90C
line 66,temp= 31.18C
line 67,temp= 40.66C
line 68,temp= 42.02C
line 69,temp= 32.69C
line 70,temp= 30.95C
line 71,temp= 30.18C
line 72,temp= 31.18C
line 73,temp= 41.61C
line 74,temp= 41.75C
line 75,temp= 34.72C
line 76,temp= 39.73C
line 77,temp= 37.51C
line 78,temp= 38.18C
line 79,temp= 35.65C
line 80,temp= 37.42C
line 81,temp= 33.53C
line 82,temp= 34.42C
line 83,temp= 40.88C
line 84,temp= 41.30C
line 85,temp= 32.59C
line 86,temp= 39.17C
line 87,temp= 40.60C
line 88,temp= 40.04C
line 89,temp= 33.76C
line 90,temp= 44.22C
line 91,temp= 30.82C
line 92,temp= 35.04C
line 93,temp= 34.31C
line 94,temp= 44.96C
line 95,temp= 38.47C
line 96,temp= 32.06C
line 97,temp= 39.04C
line 98,temp= 40.59C
line 99,temp= 30.58C
line 100,temp= 37.51C
