line 0,accelerometer= 42.63C
line 1,accelerometer= 44.74C
line 2,accelerometer= 36.58C
line 3,accelerometer= 37.62C
line 4,accelerometer= 31.24C
line 5,accelerometer= 42.33C
line 6,accelerometer= 34.59C
line 7,accelerometer= 30.79C
line 8,accelerometer= 33.47C
line 9,accelerometer= 44.07C
line 10,accelerometer= 37.28C
line 11,accelerometer= 37.87C
line 12,accelerometer= 41.35C
line 13,accelerometer= 34.02C
line 14,accelerometer= 37.02C
line 15,accelerometer= 32.51C
line 16,accelerometer= 43.24C
line 17,accelerometer= 37.32C
line 18,accelerometer= 34.87C
line 19,accelerometer= 38.86C
line 20,accelerometer= 44.05C
line 21,accelerometer= 37.36C
line 22,accelerometer= 41.72C
line 23,accelerometer= 30.41C
line 24,accelerometer= 36.24C
line 25,accelerometer= 31.96C
line 26,accelerometer= 40.34C
line 27,accelerometer= 39.71C
line 28,accelerometer= 44.43C
line 29,accelerometer= 38.05C
line 30,accelerometer= 37.09C
line 31,accelerometer= 33.57C
line 32,accelerometer= 42.59C
line 33,accelerometer= 35.85C
line 34,accelerometer= 35.54C
line 35,accelerometer= 36.16C
line 36,accelerometer= 41.47C
line 37,accelerometer= 38.86C
line 38,accelerometer= 31.40C
line 39,accelerometer= 43.69C
line 40,accelerometer= 43.43C
line 41,accelerometer= 32.94C
line 42,accelerometer= 30.51C
line 43,accelerometer= 36.55C
line 44,accelerometer= 38.54C
line 45,accelerometer= 33.22C
line 46,accelerometer= 36.77C
line 47,accelerometer= 43.34C
line 48,accelerometer= 43.88C
line 49,accelerometer= 39.07C
line 50,accelerometer= 42.21C
line 51,accelerometer= 36.17C
line 52,accelerometer= 30.98C
line 53,accelerometer= 43.74C
line 54,accelerometer= 32.01C
line 55,accelerometer= 37.39C
line 56,accelerometer= 33.06C
line 57,accelerometer= 42.03C
line 58,accelerometer= 39.95C
line 59,accelerometer= 37.29C
line 60,accelerometer= 37.87C
line 61,accelerometer= 39.18C
line 62,accelerometer= 42.26C
line 63,accelerometer= 38.53C
line 64,accelerometer= 32.94C
line 65,accelerometer= 37.57C
line 66,accelerometer= 34.46C
line 67,accelerometer= 30.53C
line 68,accelerometer= 39.78C
line 69,accelerometer= 43.68C
line 70,accelerometer= 43.41C
line 71,accelerometer= 42.94C
line 72,accelerometer= 33.70C
line 73,accelerometer= 33.24C
line 74,accelerometer= 41.29C
line 75,accelerometer= 39.70C
line 76,accelerometer= 40.81C
line 77,accelerometer= 32.28C
line 78,accelerometer= 41.11C
line 79,accelerometer= 30.84C
line 80,accelerometer= 43.94C
line 81,accelerometer= 38.55C
line 82,accelerometer= 33.72C
line 83,accelerometer= 30.12C
line 84,accelerometer= 35.59C
line 85,accelerometer= 40.06C
line 86,accelerometer= 38.64C
line 87,accelerometer= 42.73C
line 88,accelerometer= 35.05C
line 89,accelerometer= 39.37C
line 90,accelerometer= 40.77C
line 91,accelerometer= 44.38C
line 92,accelerometer= 31.01C
line 93,accelerometer= 37.85C
line 94,accelerometer= 35.01C
line 95,accelerometer= 40.64C
line 96,accelerometer= 31.55C
line 97,accelerometer= 35.10C
line 98,accelerometer= 37.19C
line 99,accelerometer= 43.76C
line 100,accelerometer= 38.94C
