line 0,humidity= 41.37%
line 1,humidity= 42.69%
line 2,humidity= 31.81%
line 3,humidity= 37.03%
line 4,humidity= 41.85%
line 5,humidity= 41.44%
line 6,humidity= 34.50%
line 7,humidity= 42.80%
line 8,humidity= 31.31%
line 9,humidity= 42.01%
line 10,humidity= 37.96%
line 11,humidity= 31.34%
line 12,humidity= 30.06%
line 13,humidity= 42.81%
line 14,humidity= 35.55%
line 15,humidity= 35.64%
line 16,humidity= 39.84%
line 17,humidity= 34.86%
line 18,humidity= 37.05%
line 19,humidity= 43.97%
line 20,humidity= 30.91%
line 21,humidity= 36.48%
line 22,humidity= 40.65%
line 23,humidity= 38.72%
line 24,humidity= 34.32%
line 25,humidity= 34.56%
line 26,humidity= 40.44%
line 27,humidity= 37.02%
line 28,humidity= 39.32%
line 29,humidity= 30.07%
line 30,humidity= 38.27%
line 31,humidity= 38.13%
line 32,humidity= 40.36%
line 33,humidity= 42.42%
line 34,humidity= 32.71%
line 35,humidity= 30.03%
line 36,humidity= 38.60%
line 37,humidity= 34.99%
line 38,humidity= 39.75%
line 39,humidity= 43.69%
line 40,humidity= 35.80%
line 41,humidity= 37.19%
line 42,humidity= 38.04%
line 43,humidity= 33.18%
line 44,humidity= 40.81%
line 45,humidity= 44.69%
line 46,humidity= 41.28%
line 47,humidity= 30.14%
line 48,humidity= 44.63%
line 49,humidity= 35.66%
line 50,humidity= 43.16%
line 51,humidity= 32.51%
line 52,humidity= 42.35%
line 53,humidity= 30.42%
line 54,humidity= 41.25%
line 55,humidity= 35.91%
line 56,humidity= 41.26%
line 57,humidity= 40.16%
line 58,humidity= 39.24%
line 59,humidity= 35.10%
line 60,humidity= 38.66%
line 61,humidity= 32.18%
line 62,humidity= 36.22%
line 63,humidity= 31.22%
line 64,humidity= 33.60%
line 65,humidity= 38.68%
line 66,humidity= 42.41%
line 67,humidity= 39.53%
line 68,humidity= 35.03%
line 69,humidity= 31.73%
line 70,humidity= 37.83%
line 71,humidity= 38.15%
line 72,humidity= 30.77%
line 73,humidity= 31.67%
line 74,humidity= 44.78%
line 75,humidity= 30.63%
line 76,humidity= 36.60%
line 77,humidity= 32.61%
line 78,humidity= 43.91%
line 79,humidity= 33.26%
line 80,humidity= 30.98%
line 81,humidity= 40.85%
line 82,humidity= 42.00%
line 83,humidity= 37.33%
line 84,humidity= 36.13%
line 85,humidity= 41.35%
line 86,humidity= 39.08%
line 87,humidity= 37.23%
line 88,humidity= 44.54%
line 89,humidity= 36.19%
line 90,humidity= 36.95%
line 91,humidity= 42.30%
line 92,humidity= 44.05%
line 93,humidity= 42.18%
line 94,humidity= 44.90%
line 95,humidity= 44.99%
line 96,humidity= 36.41%
line 97,humidity= 43.35%
line 98,humidity= 34.29%
line 99,humidity= 41.11%
line 100,humidity= 33.00%
