line 0,temp= 32.28C
line 1,temp= 34.13C
line 2,temp= 44.50C
line 3,temp= 37.53C
line 4,temp= 36.88C
line 5,temp= 43.53C
line 6,temp= 32.08C
line 7,temp= 36.86C
line 8,temp= 39.56C
line 9,temp= 44.03C
line 10,temp= 39.89C
line 11,temp= 32.89C
line 12,temp= 30.26C
line 13,temp= 32.92C
line 14,temp= 44.81C
line 15,temp= 42.03C
line 16,temp= 33.56C
line 17,temp= 32.31C
line 18,temp= 39.42C
line 19,temp= 34.51C
line 20,temp= 36.76C
line 21,temp= 33.29C
line 22,temp= 34.23C
line 23,temp= 43.65C
line 24,temp= 33.73C
line 25,temp= 43.32C
line 26,temp= 40.06C
line 27,temp= 34.72C
line 28,temp= 30.64C
line 29,temp= 38.37C
line 30,temp= 31.01C
line 31,temp= 31.46C
line 32,temp= 43.93C
line 33,temp= 41.24C
line 34,temp= 30.63C
line 35,temp= 35.51C
line 36,temp= 38.46C
line 37,temp= 35.96C
line 38,temp= 33.80C
line 39,temp= 39.72C
line 40,temp= 44.32C
line 41,temp= 32.36C
line 42,temp= 43.71C
line 43,temp= 39.79C
line 44,temp= 35.44C
line 45,temp= 40.82C
line 46,temp= 31.11C
line 47,temp= 41.29C
line 48,temp= 40.14C
line 49,temp= 33.08C
line 50,temp= 43.96C
line 51,temp= 39.60C
line 52,temp= 40.02C
line 53,temp= 37.85C
line 54,temp= 44.85C
line 55,temp= 39.49C
line 56,temp= 42.22C
line 57,temp= 34.65C
line 58,temp= 43.44C
line 59,temp= 32.65C
line 60,temp= 32.54C
line 61,temp= 42.09C
line 62,temp= 30.50C
line 63,temp= 34.69C
line 64,temp= 42.22C
line 65,temp= 33.22C
line 66,temp= 35.64C
line 67,temp= 32.80C
line 68,temp= 37.55C
line 69,temp= 32.73C
line 70,temp= 30.28C
line 71,temp= 37.67C
line 72,temp= 44.55C
line 73,temp= 32.79C
line 74,temp= 43.08C
line 75,temp= 37.62C
line 76,temp= 31.21C
line 77,temp= 39.77C
line 78,temp= 40.29C
line 79,temp= 35.94C
line 80,temp= 30.34C
line 81,temp= 42.49C
line 82,temp= 38.17C
line 83,temp= 33.16C
line 84,temp= 32.56C
line 85,temp= 42.76C
line 86,temp= 40.86C
line 87,temp= 35.53C
line 88,temp= 44.36C
line 89,temp= 32.90C
line 90,temp= 42.01C
line 91,temp= 43.42C
line 92,temp= 33.98C
line 93,temp= 36.69C
line 94,temp= 30.27C
line 95,temp= 30.77C
line 96,temp= 40.13C
line 97,temp= 32.44C
line 98,temp= 37.41C
line 99,temp= 31.35C
line 100,temp= 42.31C
