line 0,accelerometer= 40.67C
line 1,accelerometer= 41.78C
line 2,accelerometer= 42.38C
line 3,accelerometer= 44.35C
line 4,accelerometer= 32.95C
line 5,accelerometer= 41.68C
line 6,accelerometer= 44.43C
line 7,accelerometer= 34.76C
line 8,accelerometer= 33.57C
line 9,accelerometer= 40.42C
line 10,accelerometer= 36.82C
line 11,accelerometer= 32.73C
line 12,accelerometer= 32.98C
line 13,accelerometer= 33.82C
line 14,accelerometer= 32.86C
line 15,accelerometer= 38.17C
line 16,accelerometer= 43.54C
line 17,accelerometer= 42.51C
line 18,accelerometer= 38.87C
line 19,accelerometer= 33.36C
line 20,accelerometer= 36.70C
line 21,accelerometer= 42.50C
line 22,accelerometer= 43.31C
line 23,accelerometer= 44.31C
line 24,accelerometer= 30.99C
line 25,accelerometer= 39.81C
line 26,accelerometer= 43.66C
line 27,accelerometer= 44.58C
line 28,accelerometer= 43.35C
line 29,accelerometer= 33.94C
line 30,accelerometer= 40.58C
line 31,accelerometer= 40.18C
line 32,accelerometer= 43.58C
line 33,accelerometer= 36.67C
line 34,accelerometer= 43.82C
line 35,accelerometer= 42.93C
line 36,accelerometer= 32.63C
line 37,accelerometer= 31.97C
line 38,accelerometer= 31.39C
line 39,accelerometer= 44.88C
line 40,accelerometer= 32.15C
line 41,accelerometer= 36.86C
line 42,accelerometer= 37.17C
line 43,accelerometer= 36.28C
line 44,accelerometer= 40.58C
line 45,accelerometer= 33.49C
line 46,accelerometer= 32.98C
line 47,accelerometer= 43.38C
line 48,accelerometer= 40.15C
line 49,accelerometer= 33.59C
line 50,accelerometer= 30.17C
line 51,accelerometer= 42.33C
line 52,accelerometer= 41.32C
line 53,accelerometer= 39.95C
line 54,accelerometer= 37.53C
line 55,accelerometer= 43.90C
line 56,accelerometer= 34.50C
line 57,accelerometer= 38.87C
line 58,accelerometer= 41.43C
line 59,accelerometer= 39.99C
line 60,accelerometer= 38.96C
line 61,accelerometer= 39.83C
line 62,accelerometer= 33.91C
line 63,accelerometer= 43.23C
line 64,accelerometer= 39.76C
line 65,accelerometer= 39.96C
line 66,accelerometer= 44.55C
line 67,accelerometer= 34.04C
line 68,accelerometer= 38.20C
line 69,accelerometer= 36.44C
line 70,accelerometer= 34.36C
line 71,accelerometer= 32.26C
line 72,accelerometer= 43.32C
line 73,accelerometer= 41.83C
line 74,accelerometer= 43.99C
line 75,accelerometer= 37.89C
line 76,accelerometer= 35.19C
line 77,accelerometer= 40.78C
line 78,accelerometer= 38.52C
line 79,accelerometer= 40.07C
line 80,accelerometer= 32.92C
line 81,accelerometer= 42.55C
line 82,accelerometer= 43.77C
line 83,accelerometer= 40.91C
line 84,accelerometer= 33.75C
line 85,accelerometer= 33.33C
line 86,accelerometer= 34.57C
line 87,accelerometer= 36.34C
line 88,accelerometer= 41.91C
line 89,accelerometer= 31.47C
line 90,accelerometer= 43.23C
line 91,accelerometer= 44.40C
line 92,accelerometer= 41.31C
line 93,accelerometer= 34.80C
line 94,accelerometer= 36.73C
line 95,accelerometer= 44.62C
line 96,accelerometer= 43.29C
line 97,accelerometer= 38.98C
line 98,accelerometer= 36.05C
line 99,accelerometer= 36.46C
line 100,accelerometer= 39.48C
