line 0,humidity= 43.60%
line 1,humidity= 33.79%
line 2,humidity= 32.24%
line 3,humidity= 35.98%
line 4,humidity= 44.26%
line 5,humidity= 30.32%
line 6,humidity= 42.65%
line 7,humidity= 38.43%
line 8,humidity= 32.90%
line 9,humidity= 32.90%
line 10,humidity= 31.36%
line 11,humidity= 31.63%
line 12,humidity= 30.80%
line 13,humidity= 43.82%
line 14,humidity= 38.29%
line 15,humidity= 31.07%
line 16,humidity= 38.23%
line 17,humidity= 39.93%
line 18,humidity= 40.52%
line 19,humidity= 30.96%
line 20,humidity= 32.81%
line 21,humidity= 44.94%
line 22,humidity= 34.22%
line 23,humidity= 37.83%
line 24,humidity= 36.36%
line 25,humidity= 33.82%
line 26,humidity= 39.98%
line 27,humidity= 34.12%
line 28,humidity= 37.22%
line 29,humidity= 40.74%
line 30,humidity= 36.55%
line 31,humidity= 37.89%
line 32,humidity= 32.19%
line 33,humidity= 40.25%
line 34,humidity= 32.31%
line 35,humidity= 36.52%
line 36,humidity= 40.60%
line 37,humidity= 36.10%
line 38,humidity= 37.15%
line 39,humidity= 41.45%
line 40,humidity= 36.12%
line 41,humidity= 36.51%
line 42,humidity= 30.05%
line 43,humidity= 35.47%
line 44,humidity= 31.78%
line 45,humidity= 33.93%
line 46,humidity= 30.93%
line 47,humidity= 38.71%
line 48,humidity= 42.81%
line 49,humidity= 33.16%
line 50,humidity= 37.49%
line 51,humidity= 44.29%
line 52,humidity= 38.52%
line 53,humidity= 33.74%
line 54,humidity= 30.01%
line 55,humidity= 43.10%
line 56,humidity= 30.72%
line 57,humidity= 36.43%
line 58,humidity= 35.33%
line 59,humidity= 35.03%
line 60,humidity= 39.09%
line 61,humidity= 30.94%
line 62,humidity= 38.53%
line 63,humidity= 35.32%
line 64,humidity= 32.53%
line 65,humidity= 41.39%
line 66,humidity= 42.44%
line 67,humidity= 43.91%
line 68,humidity= 36.48%
line 69,humidity= 40.73%
line 70,humidity= 38.38%
line 71,humidity= 31.80%
line 72,humidity= 39.91%
line 73,humidity= 31.77%
line 74,humidity= 42.75%
line 75,humidity= 30.02%
line 76,humidity= 32.71%
line 77,humidity= 42.67%
line 78,humidity= 43.45%
line 79,humidity= 42.39%
line 80,humidity= 37.86%
line 81,humidity= 40.03%
line 82,humidity= 35.71%
line 83,humidity= 38.35%
line 84,humidity= 39.63%
line 85,humidity= 39.72%
line 86,humidity= 31.59%
line 87,humidity= 38.32%
line 88,humidity= 34.53%
line 89,humidity= 30.63%
line 90,humidity= 43.00%
line 91,humidity= 42.36%
line 92,humidity= 36.06%
line 93,humidity= 32.12%
line 94,humidity= 33.95%
line 95,humidity= 35.47%
line 96,humidity= 43.47%
line 97,humidity= 32.09%
line 98,humidity= 33.10%
line 99,humidity= 41.19%
line 100,humidity= 42.88%
