line 0,temp= 32.79C
line 1,temp= 39.05C
line 2,temp= 44.22C
line 3,temp= 37.53C
line 4,temp= 30.04C
line 5,temp= 43.09C
line 6,temp= 37.26C
line 7,temp= 37.04C
line 8,temp= 32.54C
line 9,temp= 30.47C
line 10,temp= 34.63C
line 11,temp= 44.11C
line 12,temp= 40.18C
line 13,temp= 36.35C
line 14,temp= 34.88C
line 15,temp= 38.71C
line 16,temp= 37.38C
line 17,temp= 38.29C
line 18,temp= 33.68C
line 19,temp= 40.17C
line 20,temp= 44.94C
line 21,temp= 36.50C
line 22,temp= 36.94C
line 23,temp= 31.60C
line 24,temp= 44.46C
line 25,temp= 43.64C
line 26,temp= 32.41C
line 27,temp= 30.08C
line 28,temp= 43.82C
line 29,temp= 40.25C
line 30,temp= 30.09C
line 31,temp= 44.03C
line 32,temp= 42.24C
line 33,temp= 30.74C
line 34,temp= 44.27C
line 35,temp= 37.26C
line 36,temp= 31.05C
line 37,temp= 43.72C
line 38,temp= 44.51C
line 39,temp= 37.98C
line 40,temp= 30.38C
line 41,temp= 30.57C
line 42,temp= 31.73C
line 43,temp= 42.21C
line 44,temp= 32.09C
line 45,temp= 37.75C
line 46,temp= 31.02C
line 47,temp= 42.29C
line 48,temp= 38.81C
line 49,temp= 34.25C
line 50,temp= 43.93C
line 51,temp= 42.27C
line 52,temp= 39.57C
line 53,temp= 41.02C
line 54,temp= 36.41C
line 55,temp= 40.52C
line 56,temp= 43.07C
line 57,temp= 37.77C
line 58,temp= 41.24C
line 59,temp= 35.94C
line 60,temp= 33.06C
line 61,temp= 36.27C
line 62,temp= 41.46C
line 63,temp= 41.33C
line 64,temp= 32.91C
line 65,temp= 39.92C
line 66,temp= 37.21C
line 67,temp= 35.92C
line 68,temp= 32.35C
line 69,temp= 33.85C
line 70,temp= 42.99C
line 71,temp= 41.92C
line 72,temp= 44.04C
line 73,temp= 31.35C
line 74,temp= 36.49C
line 75,temp= 39.40C
line 76,temp= 30.72C
line 77,temp= 30.43C
line 78,temp= 39.05C
line 79,temp= 36.28C
line 80,temp= 30.09C
line 81,temp= 37.27C
line 82,temp= 42.18C
line 83,temp= 30.97C
line 84,temp= 38.72C
line 85,temp= 38.26C
line 86,temp= 41.54C
line 87,temp= 39.27C
line 88,temp= 30.10C
line 89,temp= 35.91C
line 90,temp= 40.61C
line 91,temp= 32.02C
line 92,temp= 37.25C
line 93,temp= 34.38C
line 94,temp= 37.86C
line 95,temp= 39.47C
line 96,temp= 42.58C
line 97,temp= 33.27C
line 98,temp= 33.52C
line 99,temp= 38.54C
line 100,temp= 43.86C
